date	External	Internal
2015-02-15T13:59:40	21.812	22.812
2015-02-15T13:59:45	21.812	22.875
2015-02-15T13:59:50	21.812	22.875
2015-02-15T13:59:55	21.812	22.937
2015-02-15T14:00:00	21.812	23.000
2015-02-15T14:00:05	21.812	23.062
2015-02-15T14:00:10	21.812	23.125
2015-02-15T14:00:15	21.812	23.437
2015-02-15T14:00:20	21.812	23.500
2015-02-15T14:00:25	21.875	23.500
2015-02-15T14:00:30	21.812	23.500
2015-02-15T14:00:35	21.812	23.500
2015-02-15T14:00:40	21.875	23.437
2015-02-15T14:00:45	21.875	23.625
2015-02-15T14:00:50	21.875	23.750
2015-02-15T14:00:55	21.875	24.375
2015-02-15T14:01:00	21.875	24.437
2015-02-15T14:01:05	21.875	24.625
2015-02-15T14:01:10	21.875	24.625
2015-02-15T14:01:15	21.937	24.687
2015-02-15T14:01:20	21.937	24.750
2015-02-15T14:01:25	21.937	24.750
2015-02-15T14:01:30	21.937	24.812
2015-02-15T14:01:35	21.937	24.812
2015-02-15T14:01:40	21.937	24.937
2015-02-15T14:01:45	22.000	25.000
2015-02-15T14:01:50	22.000	25.125
2015-02-15T14:01:55	22.000	25.312
2015-02-15T14:02:00	22.000	25.375
2015-02-15T14:02:05	22.062	25.437
2015-02-15T14:02:10	22.062	25.437
2015-02-15T14:02:15	22.062	25.437
2015-02-15T14:02:20	22.062	25.437
2015-02-15T14:02:25	22.125	25.437
2015-02-15T14:02:30	22.125	25.375
2015-02-15T14:02:35	22.125	25.562
2015-02-15T14:02:40	22.125	25.500
2015-02-15T14:02:45	22.187	25.562
2015-02-15T14:02:50	22.187	25.687
2015-02-15T14:02:55	22.187	25.750
2015-02-15T14:03:00	22.187	25.437
2015-02-15T14:03:05	22.250	25.312
2015-02-15T14:03:10	22.250	25.250
2015-02-15T14:03:15	22.312	25.312
2015-02-15T14:03:20	22.312	25.312
2015-02-15T14:03:25	22.312	25.312
2015-02-15T14:03:30	22.375	25.312
2015-02-15T14:03:35	22.375	25.250
2015-02-15T14:03:40	22.375	25.375
2015-02-15T14:03:45	22.375	25.437
2015-02-15T14:03:50	22.437	25.437
2015-02-15T14:03:55	22.500	25.437
2015-02-15T14:04:00	22.500	25.437
2015-02-15T14:04:05	22.500	25.500
2015-02-15T14:04:10	22.562	25.500
2015-02-15T14:04:15	22.562	25.437
2015-02-15T14:04:20	22.562	25.437
2015-02-15T14:04:25	22.625	25.437
2015-02-15T14:04:30	22.625	25.437
2015-02-15T14:04:35	22.625	25.437
2015-02-15T14:04:40	22.625	25.375
2015-02-15T14:04:45	22.625	25.375
2015-02-15T14:04:50	22.687	25.375
2015-02-15T14:04:55	22.687	25.312
2015-02-15T14:05:00	22.750	25.312
2015-02-15T14:05:05	22.750	25.312
2015-02-15T14:05:10	22.750	25.250
2015-02-15T14:05:15	22.750	25.250
2015-02-15T14:05:20	22.812	25.187
2015-02-15T14:05:25	22.812	25.250
2015-02-15T14:05:30	22.750	25.375
2015-02-15T14:05:35	22.687	25.312
2015-02-15T14:05:40	22.687	25.250
2015-02-15T14:05:45	21.625	24.937
2015-02-15T14:05:50	17.562	24.625
2015-02-15T14:05:55	14.562	24.125
2015-02-15T14:06:00	12.437	23.562
2015-02-15T14:06:05	11.125	23.000
2015-02-15T14:06:10	10.125	22.437
2015-02-15T14:06:15	9.687	21.875
2015-02-15T14:06:20	9.625	21.312
2015-02-15T14:06:25	9.625	20.812
2015-02-15T14:06:30	9.562	20.250
2015-02-15T14:06:35	9.500	19.750
2015-02-15T14:06:40	9.375	19.312
2015-02-15T14:06:45	9.312	18.875
2015-02-15T14:06:50	9.312	18.437
2015-02-15T14:06:55	9.187	18.062
2015-02-15T14:07:00	9.250	17.625
2015-02-15T14:07:05	9.500	17.375
2015-02-15T14:07:10	9.687	17.062
2015-02-15T14:07:15	9.937	16.750
2015-02-15T14:07:20	10.125	16.500
2015-02-15T14:07:25	10.312	16.375
2015-02-15T14:07:30	10.500	16.250
2015-02-15T14:07:35	10.062	16.062
2015-02-15T14:07:40	8.625	15.750
2015-02-15T14:07:45	7.625	15.500
2015-02-15T14:07:50	7.000	15.250
2015-02-15T14:07:55	6.563	14.937
2015-02-15T14:08:00	6.250	14.750
2015-02-15T14:08:05	6.000	14.500
2015-02-15T14:08:10	5.875	14.250
2015-02-15T14:08:15	5.750	14.000
2015-02-15T14:08:20	5.625	13.750
2015-02-15T14:08:25	5.563	13.500
2015-02-15T14:08:30	5.500	13.312
2015-02-15T14:08:35	5.375	13.062
2015-02-15T14:08:40	5.375	12.875
2015-02-15T14:08:45	5.250	12.687
2015-02-15T14:08:50	5.250	12.500
2015-02-15T14:08:55	5.188	12.312
2015-02-15T14:09:00	5.125	12.062
2015-02-15T14:09:05	5.125	11.937
2015-02-15T14:09:10	5.063	11.750
2015-02-15T14:09:15	5.063	11.562
2015-02-15T14:09:20	5.000	11.375
2015-02-15T14:09:25	4.938	11.312
2015-02-15T14:09:30	4.938	11.125
2015-02-15T14:09:35	4.875	10.937
2015-02-15T14:09:40	4.813	10.875
2015-02-15T14:09:45	4.813	10.687
2015-02-15T14:09:50	4.750	10.562
2015-02-15T14:09:55	4.688	10.437
2015-02-15T14:10:00	4.688	10.312
2015-02-15T14:10:05	4.688	10.187
2015-02-15T14:10:10	4.625	10.125
2015-02-15T14:10:15	4.563	9.937
2015-02-15T14:10:20	4.563	9.875
2015-02-15T14:10:25	4.500	9.812
2015-02-15T14:10:30	4.500	9.687
2015-02-15T14:10:35	4.438	9.562
2015-02-15T14:10:40	4.438	9.437
2015-02-15T14:10:45	4.375	9.437
2015-02-15T14:10:50	4.375	9.312
2015-02-15T14:10:55	4.313	9.250
2015-02-15T14:11:00	4.250	9.125
2015-02-15T14:11:05	4.250	9.000
2015-02-15T14:11:10	4.250	8.937
2015-02-15T14:11:15	4.188	8.875
2015-02-15T14:11:20	4.188	8.750
2015-02-15T14:11:25	4.125	8.687
2015-02-15T14:11:30	4.188	8.687
2015-02-15T14:11:35	4.063	8.625
2015-02-15T14:11:40	4.125	8.562
2015-02-15T14:11:45	4.063	8.437
2015-02-15T14:11:50	4.000	8.437
2015-02-15T14:11:55	4.000	8.250
2015-02-15T14:12:00	3.937	8.250
2015-02-15T14:12:05	3.937	8.187
2015-02-15T14:12:10	3.937	8.125
2015-02-15T14:12:15	3.875	8.125
2015-02-15T14:12:20	3.875	8.000
2015-02-15T14:12:25	3.875	8.000
2015-02-15T14:12:30	3.812	7.938
2015-02-15T14:12:35	3.812	7.813
2015-02-15T14:12:40	3.812	7.813
2015-02-15T14:12:45	3.812	7.750
2015-02-15T14:12:50	3.750	7.688
2015-02-15T14:12:55	3.750	7.625
2015-02-15T14:13:00	3.687	7.625
2015-02-15T14:13:05	3.687	7.563
2015-02-15T14:13:10	3.687	7.500
2015-02-15T14:13:15	3.687	7.375
2015-02-15T14:13:20	3.625	7.438
2015-02-15T14:13:25	3.625	7.375
2015-02-15T14:13:30	3.625	7.313
2015-02-15T14:13:35	3.562	7.250
2015-02-15T14:13:40	3.562	7.250
2015-02-15T14:13:45	3.562	7.188
2015-02-15T14:13:50	3.562	7.125
2015-02-15T14:13:55	3.500	7.125
2015-02-15T14:14:00	3.500	7.125
2015-02-15T14:14:05	3.500	7.063
2015-02-15T14:14:10	3.500	6.938
2015-02-15T14:14:15	3.437	6.938
2015-02-15T14:14:20	3.437	6.938
2015-02-15T14:14:25	3.437	6.875
2015-02-15T14:14:30	3.437	6.875
2015-02-15T14:14:35	3.437	6.813
2015-02-15T14:14:40	3.375	6.813
2015-02-15T14:14:45	3.375	6.688
2015-02-15T14:14:50	3.375	6.688
2015-02-15T14:14:55	3.375	6.625
2015-02-15T14:15:00	3.375	6.625
2015-02-15T14:15:05	3.312	6.625
2015-02-15T14:15:10	3.312	6.563
2015-02-15T14:15:15	3.312	6.563
2015-02-15T14:15:20	3.312	6.500
2015-02-15T14:15:25	3.250	6.500
2015-02-15T14:15:30	3.250	6.438
2015-02-15T14:15:35	3.250	6.438
2015-02-15T14:15:40	3.250	6.375
2015-02-15T14:15:45	3.187	6.375
2015-02-15T14:15:50	3.250	6.375
2015-02-15T14:15:55	3.187	6.313
2015-02-15T14:16:00	3.187	6.313
2015-02-15T14:16:05	3.187	6.250
2015-02-15T14:16:10	3.187	6.188
2015-02-15T14:16:15	3.187	6.250
2015-02-15T14:16:20	3.187	6.188
2015-02-15T14:16:25	3.125	6.125
2015-02-15T14:16:30	3.187	6.125
2015-02-15T14:16:35	3.125	6.125
2015-02-15T14:16:40	3.125	6.063
2015-02-15T14:16:45	3.125	6.063
2015-02-15T14:16:50	3.125	6.063
2015-02-15T14:16:55	3.125	6.063
2015-02-15T14:17:00	3.062	6.063
2015-02-15T14:17:05	3.125	6.000
2015-02-15T14:17:10	3.062	6.000
2015-02-15T14:17:15	3.062	6.000
2015-02-15T14:17:20	3.062	5.938
2015-02-15T14:17:25	3.062	5.938
2015-02-15T14:17:30	3.062	5.938
2015-02-15T14:17:35	3.000	5.875
2015-02-15T14:17:40	3.062	5.813
2015-02-15T14:17:45	3.000	5.813
2015-02-15T14:17:50	3.000	5.813
2015-02-15T14:17:55	3.000	5.750
2015-02-15T14:18:00	3.000	5.813
2015-02-15T14:18:05	3.000	5.750
2015-02-15T14:18:10	3.000	5.750
2015-02-15T14:18:15	3.000	5.688
2015-02-15T14:18:20	3.000	5.688
2015-02-15T14:18:25	2.937	5.688
2015-02-15T14:18:30	2.937	5.688
2015-02-15T14:18:35	2.937	5.625
2015-02-15T14:18:40	2.937	5.625
2015-02-15T14:18:45	2.937	5.625
2015-02-15T14:18:50	2.937	5.625
2015-02-15T14:18:55	2.937	5.625
2015-02-15T14:19:00	2.937	5.563
2015-02-15T14:19:05	2.937	5.563
2015-02-15T14:19:10	2.937	5.500
2015-02-15T14:19:15	2.937	5.563
2015-02-15T14:19:20	2.875	5.500
2015-02-15T14:19:25	2.875	5.500
2015-02-15T14:19:30	2.937	5.438
2015-02-15T14:19:35	2.875	5.438
2015-02-15T14:19:40	2.937	5.375
2015-02-15T14:19:45	2.875	5.438
2015-02-15T14:19:50	2.875	5.375
2015-02-15T14:19:55	2.875	5.375
2015-02-15T14:20:00	2.875	5.313
2015-02-15T14:20:05	2.875	5.375
2015-02-15T14:20:10	2.875	5.313
2015-02-15T14:20:15	2.875	5.250
2015-02-15T14:20:20	2.875	5.250
2015-02-15T14:20:25	2.875	5.250
2015-02-15T14:20:30	2.812	5.250
2015-02-15T14:20:35	2.812	5.250
2015-02-15T14:20:40	2.812	5.188
2015-02-15T14:20:45	2.875	5.188
2015-02-15T14:20:50	2.812	5.250
2015-02-15T14:20:55	2.875	5.188
2015-02-15T14:21:00	2.812	5.188
2015-02-15T14:21:05	2.812	5.125
2015-02-15T14:21:10	2.812	5.125
2015-02-15T14:21:15	2.750	5.125
2015-02-15T14:21:20	2.812	5.125
2015-02-15T14:21:25	2.812	5.063
2015-02-15T14:21:30	2.812	5.125
2015-02-15T14:21:35	2.812	5.063
2015-02-15T14:21:40	2.812	5.063
2015-02-15T14:21:45	2.812	5.125
2015-02-15T14:21:50	2.812	5.000
2015-02-15T14:21:55	2.812	5.000
2015-02-15T14:22:00	2.812	5.063
2015-02-15T14:22:05	2.812	5.000
2015-02-15T14:22:10	2.750	5.000
2015-02-15T14:22:15	2.812	4.938
2015-02-15T14:22:20	2.812	5.000
2015-02-15T14:22:25	2.812	5.000
2015-02-15T14:22:30	2.812	5.000
2015-02-15T14:22:35	2.812	4.875
2015-02-15T14:22:40	2.812	4.875
2015-02-15T14:22:45	2.812	4.875
2015-02-15T14:22:50	2.812	4.875
2015-02-15T14:22:55	2.812	4.875
2015-02-15T14:23:00	2.812	4.875
2015-02-15T14:23:05	2.750	4.875
2015-02-15T14:23:10	2.812	4.875
2015-02-15T14:23:15	2.750	4.813
2015-02-15T14:23:20	2.750	4.875
2015-02-15T14:23:25	2.812	4.875
2015-02-15T14:23:30	2.750	4.813
2015-02-15T14:23:35	2.812	4.813
2015-02-15T14:23:40	2.750	4.813
2015-02-15T14:23:45	2.812	4.813
2015-02-15T14:23:50	2.750	4.813
2015-02-15T14:23:55	2.812	4.813
2015-02-15T14:24:00	2.750	4.813
2015-02-15T14:24:05	2.750	4.750
2015-02-15T14:24:10	2.812	4.813
2015-02-15T14:24:15	2.812	4.750
2015-02-15T14:24:20	2.750	4.813
2015-02-15T14:24:25	2.750	4.750
2015-02-15T14:24:30	2.750	4.813
2015-02-15T14:24:35	2.750	4.750
2015-02-15T14:24:40	2.750	4.813
2015-02-15T14:24:45	2.812	4.813
2015-02-15T14:24:50	2.750	4.813
2015-02-15T14:24:55	2.750	4.750
2015-02-15T14:25:00	2.750	4.750
2015-02-15T14:25:05	2.812	4.813
2015-02-15T14:25:10	2.750	4.813
2015-02-15T14:25:15	2.750	4.750
2015-02-15T14:25:20	2.750	4.813
2015-02-15T14:25:25	2.750	4.750
2015-02-15T14:25:30	2.750	4.750
2015-02-15T14:25:35	2.750	4.750
2015-02-15T14:25:40	2.750	4.750
2015-02-15T14:25:45	2.812	4.688
2015-02-15T14:25:50	2.750	4.750
2015-02-15T14:25:55	2.750	4.750
2015-02-15T14:26:00	2.750	4.688
2015-02-15T14:26:05	2.812	4.750
2015-02-15T14:26:10	2.812	4.688
2015-02-15T14:26:15	2.750	4.688
2015-02-15T14:26:20	2.812	4.688
2015-02-15T14:26:25	2.812	4.688
2015-02-15T14:26:30	2.812	4.625
2015-02-15T14:26:35	2.750	4.688
2015-02-15T14:26:40	2.812	4.625
2015-02-15T14:26:45	2.750	4.625
2015-02-15T14:26:50	2.812	4.625
2015-02-15T14:26:55	2.812	4.625
2015-02-15T14:27:00	2.812	4.625
2015-02-15T14:27:05	2.812	4.625
2015-02-15T14:27:10	2.812	4.625
2015-02-15T14:27:15	2.812	4.563
2015-02-15T14:27:20	2.812	4.625
2015-02-15T14:27:25	2.812	4.563
2015-02-15T14:27:30	2.812	4.625
2015-02-15T14:27:35	2.812	4.563
2015-02-15T14:27:40	2.812	4.563
2015-02-15T14:27:45	2.812	4.563
2015-02-15T14:27:50	2.812	4.563
2015-02-15T14:27:55	2.812	4.563
2015-02-15T14:28:00	2.812	4.563
2015-02-15T14:28:05	2.812	4.563
2015-02-15T14:28:10	2.812	4.563
2015-02-15T14:28:15	2.812	4.563
2015-02-15T14:28:20	2.812	4.563
2015-02-15T14:28:25	2.812	4.500
2015-02-15T14:28:30	2.812	4.500
2015-02-15T14:28:35	2.812	4.500
2015-02-15T14:28:40	2.812	4.500
2015-02-15T14:28:45	2.812	4.500
2015-02-15T14:28:50	2.875	4.500
2015-02-15T14:28:55	2.875	4.438
2015-02-15T14:29:00	2.875	4.500
2015-02-15T14:29:05	2.875	4.500
2015-02-15T14:29:10	2.875	4.500
2015-02-15T14:29:15	2.875	4.500
2015-02-15T14:29:20	2.875	4.500
2015-02-15T14:29:25	2.875	4.438
2015-02-15T14:29:30	2.875	4.438
2015-02-15T14:29:35	2.875	4.438
2015-02-15T14:29:40	2.875	4.438
2015-02-15T14:29:45	2.875	4.438
2015-02-15T14:29:50	2.875	4.438
2015-02-15T14:29:55	2.875	4.438
2015-02-15T14:30:00	2.875	4.438
2015-02-15T14:30:05	2.875	4.438
2015-02-15T14:30:10	2.875	4.438
2015-02-15T14:30:15	2.937	4.438
2015-02-15T14:30:20	2.875	4.375
2015-02-15T14:30:25	2.937	4.438
2015-02-15T14:30:30	2.937	4.438
2015-02-15T14:30:35	2.937	4.438
2015-02-15T14:30:40	2.875	4.375
2015-02-15T14:30:45	2.937	4.375
2015-02-15T14:30:50	2.937	4.375
2015-02-15T14:30:55	2.875	4.313
2015-02-15T14:31:00	2.937	4.375
2015-02-15T14:31:05	2.937	4.375
2015-02-15T14:31:10	2.937	4.375
2015-02-15T14:31:15	2.937	4.375
2015-02-15T14:31:20	2.937	4.313
2015-02-15T14:31:25	2.937	4.375
2015-02-15T14:31:30	2.937	4.313
2015-02-15T14:31:35	2.937	4.313
2015-02-15T14:31:40	2.937	4.313
2015-02-15T14:31:45	2.937	4.313
2015-02-15T14:31:50	2.937	4.313
2015-02-15T14:31:55	2.937	4.313
2015-02-15T14:32:00	2.937	4.313
2015-02-15T14:32:05	2.937	4.313
2015-02-15T14:32:10	2.937	4.313
2015-02-15T14:32:15	2.937	4.313
2015-02-15T14:32:20	2.937	4.313
2015-02-15T14:32:25	3.000	4.313
2015-02-15T14:32:30	3.000	4.250
2015-02-15T14:32:35	3.000	4.313
2015-02-15T14:32:40	3.000	4.313
2015-02-15T14:32:45	3.000	4.250
2015-02-15T14:32:50	3.000	4.250
2015-02-15T14:32:55	3.000	4.313
2015-02-15T14:33:00	3.000	4.250
2015-02-15T14:33:05	3.000	4.250
2015-02-15T14:33:10	3.000	4.313
2015-02-15T14:33:15	3.000	4.250
2015-02-15T14:33:20	3.000	4.250
2015-02-15T14:33:25	3.000	4.313
2015-02-15T14:33:30	3.062	4.250
2015-02-15T14:33:35	3.062	4.250
2015-02-15T14:33:40	3.062	4.250
2015-02-15T14:33:45	3.000	4.250
2015-02-15T14:33:50	3.062	4.188
2015-02-15T14:33:55	3.062	4.250
2015-02-15T14:34:00	3.062	4.250
2015-02-15T14:34:05	3.062	4.188
2015-02-15T14:34:10	3.062	4.188
2015-02-15T14:34:15	3.062	4.250
2015-02-15T14:34:20	3.062	4.188
2015-02-15T14:34:25	3.062	4.188
2015-02-15T14:34:30	3.062	4.188
2015-02-15T14:34:35	3.062	4.250
2015-02-15T14:34:40	3.062	4.188
2015-02-15T14:34:45	3.062	4.188
2015-02-15T14:34:50	3.062	4.188
2015-02-15T14:34:55	3.062	4.188
2015-02-15T14:35:00	3.062	4.188
2015-02-15T14:35:05	3.062	4.188
2015-02-15T14:35:10	3.062	4.125
2015-02-15T14:35:15	3.125	4.188
